-f,-j,-b,--block-size,--window-size,--future-limit,--max-matches,--lazy-matching,-O,orig_size,enc_size,ratio,enc_time,dec_time
ctx,12,1,312501,312501,312501,0,,,10000000,3702960,37.0,0.34879302978515625,0.034715890884399414
ctx,12,1,312501,312501,312501,0,True,,10000000,3671294,36.7,0.39592742919921875,0.03857922554016113
ctx,12,1,625001,625001,625001,0,,,10000000,3577240,35.8,0.6295006275177002,0.03694605827331543
ctx,12,1,625001,625001,625001,0,True,,10000000,3546549,35.5,0.923851490020752,0.037290096282958984
ctx,12,1,1250001,1250001,1250001,0,,,10000000,3461708,34.6,2.452918529510498,0.03781485557556152
ctx,12,1,1250001,1250001,1250001,0,True,,10000000,3434456,34.3,4.288379192352295,0.038031578063964844
ctx,12,1,2500001,2500001,2500001,0,,,10000000,3357367,33.6,12.37924838066101,0.03943371772766113
ctx,12,1,2500001,2500001,2500001,0,True,,10000000,3333578,33.3,20.857991218566895,0.04385781288146973
ctx,12,1,5000001,5000001,5000001,0,,,10000000,3262135,32.6,53.56573152542114,0.04471540451049805
ctx,12,1,5000001,5000001,5000001,0,True,,10000000,3242822,32.4,93.62724781036377,0.044580698013305664
ctx,12,1,10000001,10000001,10000001,0,,,10000000,3169464,31.7,259.25293493270874,0.04778861999511719
ctx,12,1,10000001,10000001,10000001,0,True,,10000000,3153926,31.5,395.16781854629517,0.054941654205322266
ctx,12,1,312501,312501,312501,0,,True,10000000,3540964,35.4,1.546360731124878,0.039255619049072266
ctx,12,1,625001,625001,625001,0,,True,10000000,3393639,33.9,4.190252065658569,0.03999972343444824
ctx,12,1,1250001,1250001,1250001,0,,True,10000000,3258339,32.6,21.429375171661377,0.03992319107055664
ctx,12,1,2500001,2500001,2500001,0,,True,10000000,3136685,31.4,103.88536238670349,0.04353928565979004
ctx,12,1,5000001,5000001,5000001,0,,True,10000000,3027496,30.3,588.8457310199738,0.04853391647338867
ctx,12,1,10000001,10000001,10000001,0,,True,10000000,2924752,29.2,3152.0345616340637,0.05096173286437988
ctx,12,1,312501,312501,312501,0,,,10000000,3702960,37.0,0.36855435371398926,0.03761911392211914
ctx,12,1,312501,312501,312501,0,True,,10000000,3671294,36.7,0.41989755630493164,0.03803873062133789
ctx,12,1,625001,625001,625001,0,,,10000000,3577240,35.8,0.5692627429962158,0.03804135322570801
ctx,12,1,625001,625001,625001,0,True,,10000000,3546549,35.5,0.9335939884185791,0.0392611026763916
ctx,12,1,1250001,1250001,1250001,0,,,10000000,3461708,34.6,2.224438428878784,0.03742218017578125
ctx,12,1,1250001,1250001,1250001,0,True,,10000000,3434456,34.3,3.6740901470184326,0.03878331184387207
ctx,12,1,2500001,2500001,2500001,0,,,10000000,3357367,33.6,10.83848524093628,0.04174661636352539
ctx,12,1,2500001,2500001,2500001,0,True,,10000000,3333578,33.3,17.90646266937256,0.0430912971496582
ctx,12,1,5000001,5000001,5000001,0,,,10000000,3262135,32.6,51.377235889434814,0.045679569244384766
