-f,-j,-b,--block-size,--window-size,--future-limit,--max-matches,--lazy-matching,-O,orig_size,enc_size,ratio,enc_time,dec_time
ctx,8,1,1000002,1000002,1000002,0,,True,1000001,316458,31.6,5.080632209777832,0.00676417350769043
ctx,4,1,31251,31251,31251,0,,,1000001,417734,41.8,0.35256385803222656,0.006363868713378906
ctx,4,1,31251,31251,31251,0,True,,1000001,414780,41.5,0.37042713165283203,0.006729841232299805
ctx,4,1,62501,62501,62501,0,,,1000001,393221,39.3,0.1786820888519287,0.0060465335845947266
ctx,4,1,62501,62501,62501,0,True,,1000001,390227,39.0,0.19296479225158691,0.00564885139465332
ctx,4,1,125001,125001,125001,0,,,1000001,374077,37.4,0.1128852367401123,0.005907535552978516
ctx,4,1,125001,125001,125001,0,True,,1000001,371061,37.1,0.12097930908203125,0.005590200424194336
ctx,4,1,250001,250001,250001,0,,,1000001,359760,36.0,0.07698750495910645,0.00567936897277832
ctx,4,1,250001,250001,250001,0,True,,1000001,356587,35.7,0.08089089393615723,0.006964683532714844
ctx,4,1,500001,500001,500001,0,,,1000001,346832,34.7,0.12587571144104004,0.005856037139892578
ctx,4,1,500001,500001,500001,0,True,,1000001,343956,34.4,0.18894672393798828,0.007737398147583008
ctx,4,1,1000002,1000002,1000002,0,,,1000001,335868,33.6,0.4766829013824463,0.007221698760986328
ctx,4,1,1000002,1000002,1000002,0,True,,1000001,333194,33.3,0.7735693454742432,0.007687807083129883
ctx,4,1,31251,31251,31251,0,,True,1000001,408354,40.8,0.3909337520599365,0.006529331207275391
ctx,4,1,62501,62501,62501,0,,True,1000001,382249,38.2,0.2358992099761963,0.005648374557495117
ctx,4,1,125001,125001,125001,0,,True,1000001,361167,36.1,0.23325800895690918,0.006587982177734375
ctx,4,1,250001,250001,250001,0,,True,1000001,344487,34.4,0.328582763671875,0.007309436798095703
ctx,4,1,500001,500001,500001,0,,True,1000001,329612,33.0,1.0708680152893066,0.006215095520019531
ctx,4,1,1000002,1000002,1000002,0,,True,1000001,316458,31.6,5.033384323120117,0.005751132965087891
ctx,2,1,31251,31251,31251,0,,,1000001,417734,41.8,0.5491073131561279,0.007135152816772461
ctx,2,1,31251,31251,31251,0,True,,1000001,414780,41.5,0.590986967086792,0.0072803497314453125
ctx,2,1,62501,62501,62501,0,,,1000001,393221,39.3,0.31083035469055176,0.00616002082824707
ctx,2,1,62501,62501,62501,0,True,,1000001,390227,39.0,0.29378294944763184,0.0064432621002197266
ctx,2,1,125001,125001,125001,0,,,1000001,374077,37.4,0.18021011352539062,0.0058672428131103516
ctx,2,1,125001,125001,125001,0,True,,1000001,371061,37.1,0.18145179748535156,0.0062673091888427734
ctx,2,1,250001,250001,250001,0,,,1000001,359760,36.0,0.10987424850463867,0.005522966384887695
ctx,2,1,250001,250001,250001,0,True,,1000001,356587,35.7,0.12934470176696777,0.00593876838684082
ctx,2,1,500001,500001,500001,0,,,1000001,346832,34.7,0.129180908203125,0.0068361759185791016
ctx,2,1,500001,500001,500001,0,True,,1000001,343956,34.4,0.1875298023223877,0.00627589225769043
ctx,2,1,1000002,1000002,1000002,0,,,1000001,335868,33.6,0.41986513137817383,0.007094144821166992
ctx,2,1,1000002,1000002,1000002,0,True,,1000001,333194,33.3,0.7048089504241943,0.006783723831176758
ctx,2,1,31251,31251,31251,0,,True,1000001,408354,40.8,0.630469560623169,0.00740504264831543
ctx,2,1,62501,62501,62501,0,,True,1000001,382249,38.2,0.43576478958129883,0.006430864334106445
ctx,2,1,125001,125001,125001,0,,True,1000001,361167,36.1,0.39728498458862305,0.006794929504394531
ctx,2,1,250001,250001,250001,0,,True,1000001,344487,34.4,0.5394387245178223,0.006507158279418945
ctx,2,1,500001,500001,500001,0,,True,1000001,329612,33.0,1.0429267883300781,0.007325172424316406
ctx,2,1,1000002,1000002,1000002,0,,True,1000001,316458,31.6,4.712757587432861,0.008901834487915039
ctx,1,1,31251,31251,31251,0,,,1000001,417734,41.8,1.0268864631652832,0.006511211395263672
ctx,1,1,31251,31251,31251,0,True,,1000001,414780,41.5,1.0090317726135254,0.006986141204833984
ctx,1,1,62501,62501,62501,0,,,1000001,393221,39.3,0.4948854446411133,0.005498647689819336
ctx,1,1,62501,62501,62501,0,True,,1000001,390227,39.0,0.5179169178009033,0.006181001663208008
ctx,1,1,125001,125001,125001,0,,,1000001,374077,37.4,0.276491641998291,0.006410837173461914
ctx,1,1,125001,125001,125001,0,True,,1000001,371061,37.1,0.29683423042297363,0.007014036178588867
ctx,1,1,250001,250001,250001,0,,,1000001,359760,36.0,0.18795537948608398,0.006359100341796875
ctx,1,1,250001,250001,250001,0,True,,1000001,356587,35.7,0.23042798042297363,0.0067996978759765625
ctx,1,1,500001,500001,500001,0,,,1000001,346832,34.7,0.22456645965576172,0.0060749053955078125
ctx,1,1,500001,500001,500001,0,True,,1000001,343956,34.4,0.3343780040740967,0.007512331008911133
ctx,1,1,1000002,1000002,1000002,0,,,1000001,335868,33.6,0.42138147354125977,0.006424665451049805
ctx,1,1,1000002,1000002,1000002,0,True,,1000001,333194,33.3,0.6982009410858154,0.0073130130767822266
ctx,1,1,31251,31251,31251,0,,True,1000001,408354,40.8,1.1628541946411133,0.0062255859375
ctx,1,1,62501,62501,62501,0,,True,1000001,382249,38.2,0.8152966499328613,0.007137775421142578
ctx,1,1,125001,125001,125001,0,,True,1000001,361167,36.1,0.7210550308227539,0.006863117218017578
ctx,1,1,250001,250001,250001,0,,True,1000001,344487,34.4,1.0176334381103516,0.007562875747680664
ctx,1,1,500001,500001,500001,0,,True,1000001,329612,33.0,2.0402560234069824,0.006628751754760742
ctx,1,1,1000002,1000002,1000002,0,,True,1000001,316458,31.6,4.627486705780029,0.006700754165649414
