-l,-f,-j,--bs,--ws,--fl,--mm,--lm,filename,orig_size,enc_size,ratio,enc_time,dec_time
0,ctx,16,32768,32768,32768,10,3,datasets/silesia/x-ray,8474240,6136145,72.4,4.449029207229614,0.12485384941101074
0,ctx,16,32768,32768,32768,10,3,datasets/silesia/samba,21606400,5984068,27.7,11.059274911880493,0.12588000297546387
0,ctx,16,32768,32768,32768,10,3,datasets/silesia/sao,7251944,5510787,76.0,3.91089129447937,0.0729668140411377
0,ctx,16,32768,32768,32768,10,3,AVERAGE,18781209.09090909,6722522.818181818,35.8,7.667727470397949,0.14010039242831143
0,ctx,16,32768,32768,32768,10,4,datasets/silesia/ooffice,6152192,3253125,52.9,3.297499656677246,0.06020760536193848
0,ctx,16,32768,32768,32768,10,4,datasets/silesia/mr,9970564,3912378,39.2,5.129625082015991,0.10131692886352539
0,ctx,16,32768,32768,32768,10,4,datasets/silesia/nci,33553445,3785011,11.3,17.42905282974243,0.11505317687988281
0,ctx,16,32768,32768,32768,10,4,datasets/silesia/webster,41458703,13884435,33.5,21.17930269241333,0.3745236396789551
0,ctx,16,32768,32768,32768,10,4,datasets/silesia/reymont,6627202,2192395,33.1,3.4605610370635986,0.06130790710449219
0,ctx,16,32768,32768,32768,10,4,datasets/silesia/dickens,10192446,4407389,43.2,5.357137680053711,0.1192178726196289
0,ctx,16,32768,32768,32768,10,4,datasets/silesia/mozilla,51220480,19967537,39.0,26.600131511688232,0.3705456256866455
0,ctx,16,32768,32768,32768,10,4,datasets/silesia/osdb,10085684,4863134,48.2,5.135805606842041,0.08709430694580078
0,ctx,16,32768,32768,32768,10,4,datasets/silesia/x-ray,8474240,6139969,72.5,4.208644151687622,0.11332893371582031
0,ctx,16,32768,32768,32768,10,4,datasets/silesia/samba,21606400,5976690,27.7,10.397616386413574,0.12309598922729492
0,ctx,16,32768,32768,32768,10,4,datasets/silesia/sao,7251944,5502721,75.9,3.582637071609497,0.07260632514953613
0,ctx,16,32768,32768,32768,10,4,AVERAGE,18781209.09090909,6716798.545454546,35.8,9.616183064200662,0.1452998464757746
0,ctx,16,32768,32768,32768,1000,0,datasets/silesia/ooffice,6152192,3268476,53.1,2.902623176574707,0.06787729263305664
0,ctx,16,32768,32768,32768,1000,0,datasets/silesia/mr,9970564,3835932,38.5,4.710412979125977,0.09987235069274902
0,ctx,16,32768,32768,32768,1000,0,datasets/silesia/nci,33553445,3938354,11.7,15.375645875930786,0.12529516220092773
0,ctx,16,32768,32768,32768,1000,0,datasets/silesia/webster,41458703,13899451,33.5,19.130401134490967,0.3897254467010498
0,ctx,16,32768,32768,32768,1000,0,datasets/silesia/reymont,6627202,2144505,32.4,3.153078556060791,0.06694436073303223
0,ctx,16,32768,32768,32768,1000,0,datasets/silesia/dickens,10192446,4376501,42.9,5.5171427726745605,0.13223648071289062
0,ctx,16,32768,32768,32768,1000,0,datasets/silesia/mozilla,51220480,20098496,39.2,26.376190185546875,0.35527873039245605
0,ctx,16,32768,32768,32768,1000,0,datasets/silesia/osdb,10085684,4920670,48.8,5.273924350738525,0.08949851989746094
0,ctx,16,32768,32768,32768,1000,0,datasets/silesia/x-ray,8474240,6147064,72.5,4.766874551773071,0.1215057373046875
0,ctx,16,32768,32768,32768,1000,0,datasets/silesia/samba,21606400,6119890,28.3,10.969815254211426,0.1334059238433838
0,ctx,16,32768,32768,32768,1000,0,datasets/silesia/sao,7251944,5493762,75.8,3.7244937419891357,0.07624554634094238
0,ctx,16,32768,32768,32768,1000,0,AVERAGE,18781209.09090909,6749372.818181818,35.9,9.263691143556075,0.15071686831387607
0,ctx,16,32768,32768,32768,1000,1,datasets/silesia/ooffice,6152192,3233726,52.6,3.2130937576293945,0.06294918060302734
0,ctx,16,32768,32768,32768,1000,1,datasets/silesia/mr,9970564,3831388,38.4,5.145811080932617,0.09584999084472656
0,ctx,16,32768,32768,32768,1000,1,datasets/silesia/nci,33553445,3622361,10.8,17.935678005218506,0.11459016799926758
0,ctx,16,32768,32768,32768,1000,1,datasets/silesia/webster,41458703,13575284,32.7,22.024144172668457,0.37307047843933105
0,ctx,16,32768,32768,32768,1000,1,datasets/silesia/reymont,6627202,2069109,31.2,3.47115421295166,0.06298375129699707
0,ctx,16,32768,32768,32768,1000,1,datasets/silesia/dickens,10192446,4302764,42.2,5.594386339187622,0.12996268272399902
0,ctx,16,32768,32768,32768,1000,1,datasets/silesia/mozilla,51220480,19825625,38.7,24.731112957000732,0.33422064781188965
0,ctx,16,32768,32768,32768,1000,1,datasets/silesia/osdb,10085684,4807829,47.7,4.714009523391724,0.08287906646728516
0,ctx,16,32768,32768,32768,1000,1,datasets/silesia/x-ray,8474240,6132098,72.4,3.9891562461853027,0.11366081237792969
0,ctx,16,32768,32768,32768,1000,1,datasets/silesia/samba,21606400,5961461,27.6,10.378492832183838,0.13075470924377441
0,ctx,16,32768,32768,32768,1000,1,datasets/silesia/sao,7251944,5452465,75.2,3.581920623779297,0.07822394371032715
0,ctx,16,32768,32768,32768,1000,1,AVERAGE,18781209.09090909,6619464.545454546,35.2,9.525359977375377,0.14355867559259589
0,ctx,16,32768,32768,32768,1000,2,datasets/silesia/ooffice,6152192,3237906,52.6,2.9956023693084717,0.06111264228820801
0,ctx,16,32768,32768,32768,1000,2,datasets/silesia/mr,9970564,3836064,38.5,4.989851713180542,0.08815598487854004
0,ctx,16,32768,32768,32768,1000,2,datasets/silesia/nci,33553445,3497513,10.4,17.898577451705933,0.10621476173400879
0,ctx,16,32768,32768,32768,1000,2,datasets/silesia/webster,41458703,13500303,32.6,19.502354621887207,0.36529064178466797
0,ctx,16,32768,32768,32768,1000,2,datasets/silesia/reymont,6627202,2065567,31.2,3.040391683578491,0.06215262413024902
0,ctx,16,32768,32768,32768,1000,2,datasets/silesia/dickens,10192446,4289506,42.1,4.789850473403931,0.12074112892150879
0,ctx,16,32768,32768,32768,1000,2,datasets/silesia/mozilla,51220480,19832799,38.7,24.483365774154663,0.3192448616027832
0,ctx,16,32768,32768,32768,1000,2,datasets/silesia/osdb,10085684,4803302,47.6,4.768579006195068,0.09919929504394531
0,ctx,16,32768,32768,32768,1000,2,datasets/silesia/x-ray,8474240,6134445,72.4,4.745545864105225,0.12702465057373047
0,ctx,16,32768,32768,32768,1000,2,datasets/silesia/samba,21606400,5891771,27.3,11.543428421020508,0.12206339836120605
0,ctx,16,32768,32768,32768,1000,2,datasets/silesia/sao,7251944,5456138,75.2,3.9982354640960693,0.06994938850402832
0,ctx,16,32768,32768,32768,1000,2,AVERAGE,18781209.09090909,6595028.545454546,35.1,9.34143480387601,0.14010448889298874
0,ctx,16,32768,32768,32768,1000,3,datasets/silesia/ooffice,6152192,3226622,52.4,3.268547534942627,0.0603485107421875
0,ctx,16,32768,32768,32768,1000,3,datasets/silesia/mr,9970564,3837043,38.5,5.62167763710022,0.09461593627929688
0,ctx,16,32768,32768,32768,1000,3,datasets/silesia/nci,33553445,3489367,10.4,17.122552633285522,0.1182243824005127
0,ctx,16,32768,32768,32768,1000,3,datasets/silesia/webster,41458703,13496579,32.6,20.582712173461914,0.3521435260772705
0,ctx,16,32768,32768,32768,1000,3,datasets/silesia/reymont,6627202,2066312,31.2,3.01008939743042,0.06278777122497559
0,ctx,16,32768,32768,32768,1000,3,datasets/silesia/dickens,10192446,4306911,42.3,4.654021501541138,0.11535930633544922
0,ctx,16,32768,32768,32768,1000,3,datasets/silesia/mozilla,51220480,19784096,38.6,25.803579807281494,0.32009053230285645
0,ctx,16,32768,32768,32768,1000,3,datasets/silesia/osdb,10085684,4802770,47.6,4.914046764373779,0.08196210861206055
0,ctx,16,32768,32768,32768,1000,3,datasets/silesia/x-ray,8474240,6126281,72.3,3.9405300617218018,0.11401224136352539
0,ctx,16,32768,32768,32768,1000,3,datasets/silesia/samba,21606400,5889035,27.3,10.154025077819824,0.12408757209777832
0,ctx,16,32768,32768,32768,1000,3,datasets/silesia/sao,7251944,5457882,75.3,3.4467697143554688,0.06867742538452148
0,ctx,16,32768,32768,32768,1000,3,AVERAGE,18781209.09090909,6589354.363636363,35.1,9.319868391210383,0.1374826648018577
0,ctx,16,32768,32768,32768,1000,4,datasets/silesia/ooffice,6152192,3223347,52.4,3.000999689102173,0.06420540809631348
0,ctx,16,32768,32768,32768,1000,4,datasets/silesia/mr,9970564,3838961,38.5,4.684494495391846,0.0911262035369873
0,ctx,16,32768,32768,32768,1000,4,datasets/silesia/nci,33553445,3477074,10.4,15.899983406066895,0.10968756675720215
0,ctx,16,32768,32768,32768,1000,4,datasets/silesia/webster,41458703,13466284,32.5,22.162882328033447,0.3661773204803467
0,ctx,16,32768,32768,32768,1000,4,datasets/silesia/reymont,6627202,2074282,31.3,3.1340177059173584,0.06402707099914551
0,ctx,16,32768,32768,32768,1000,4,datasets/silesia/dickens,10192446,4297840,42.2,4.97011923789978,0.1412515640258789
0,ctx,16,32768,32768,32768,1000,4,datasets/silesia/mozilla,51220480,19788694,38.6,24.910348892211914,0.3617687225341797
0,ctx,16,32768,32768,32768,1000,4,datasets/silesia/osdb,10085684,4802457,47.6,5.535399913787842,0.08206725120544434
0,ctx,16,32768,32768,32768,1000,4,datasets/silesia/x-ray,8474240,6126769,72.3,4.442113637924194,0.11433649063110352
0,ctx,16,32768,32768,32768,1000,4,datasets/silesia/samba,21606400,5884412,27.2,11.61281943321228,0.12363433837890625
0,ctx,16,32768,32768,32768,1000,4,datasets/silesia/sao,7251944,5456151,75.2,4.085324048995972,0.07147026062011719
0,ctx,16,32768,32768,32768,1000,4,AVERAGE,18781209.09090909,6585115.545454546,35.1,9.494409344413064,0.14452292702414773
0,ctx,16,32768,32768,32768,0,0,datasets/silesia/ooffice,6152192,3268464,53.1,3.221224069595337,0.06519913673400879
0,ctx,16,32768,32768,32768,0,0,datasets/silesia/mr,9970564,3835643,38.5,4.945902347564697,0.10504770278930664
