-l,-f,-j,-k,--bs,--ws,--fl,--mm,--lm,filename,orig_size,enc_size,ratio,enc_time,dec_time
0,turbo2,16,4,8388608,8388608,8388608,0,2,AVERAGE,100000000.0,30462868.0,30.462868,249.22972774505615,2.0476059913635254
0,turbo2,16,4,16777216,16777216,16777216,0,1,datasets/enwik/enwik8,100000000,29940534,29.940534,299.6884036064148,1.9648118019104004
0,turbo2,16,4,16777216,16777216,16777216,0,1,AVERAGE,100000000.0,29940534.0,29.940534,299.6884036064148,1.9648118019104004
0,turbo2,16,4,16777216,16777216,16777216,0,2,datasets/enwik/enwik8,100000000,29757398,29.757398,482.5462372303009,2.100327491760254
0,turbo2,16,4,16777216,16777216,16777216,0,2,AVERAGE,100000000.0,29757398.0,29.757398,482.5462372303009,2.100327491760254
0,turbo2,16,4,33554432,33554432,33554432,0,1,datasets/enwik/enwik8,100000000,29249363,29.249363,639.522896528244,2.11641263961792
0,turbo2,16,4,33554432,33554432,33554432,0,1,AVERAGE,100000000.0,29249363.0,29.249363,639.522896528244,2.11641263961792
0,turbo2,16,4,33554432,33554432,33554432,0,2,datasets/enwik/enwik8,100000000,29084403,29.084403,800.9353189468384,2.0374577045440674
0,turbo2,16,4,33554432,33554432,33554432,0,2,AVERAGE,100000000.0,29084403.0,29.084403,800.9353189468384,2.0374577045440674
0,turbo2,16,8,4194304,4194304,4194304,0,1,datasets/enwik/enwik8,100000000,31386068,31.386068,171.05566835403442,1.9791719913482666
0,turbo2,16,8,4194304,4194304,4194304,0,1,AVERAGE,100000000.0,31386068.0,31.386068,171.05566835403442,1.9791719913482666
0,turbo2,16,8,4194304,4194304,4194304,0,2,datasets/enwik/enwik8,100000000,31162584,31.162584,235.0797905921936,2.115246057510376
0,turbo2,16,8,4194304,4194304,4194304,0,2,AVERAGE,100000000.0,31162584.0,31.162584,235.0797905921936,2.115246057510376
0,turbo2,16,8,8388608,8388608,8388608,0,1,datasets/enwik/enwik8,100000000,30665480,30.66548,226.0794439315796,1.9225316047668457
0,turbo2,16,8,8388608,8388608,8388608,0,1,AVERAGE,100000000.0,30665480.0,30.66548,226.0794439315796,1.9225316047668457
0,turbo2,16,8,8388608,8388608,8388608,0,2,datasets/enwik/enwik8,100000000,30462868,30.462868,312.4030029773712,2.060535430908203
0,turbo2,16,8,8388608,8388608,8388608,0,2,AVERAGE,100000000.0,30462868.0,30.462868,312.4030029773712,2.060535430908203
0,turbo2,16,8,16777216,16777216,16777216,0,1,datasets/enwik/enwik8,100000000,29940534,29.940534,360.85633850097656,1.9822595119476318
0,turbo2,16,8,16777216,16777216,16777216,0,1,AVERAGE,100000000.0,29940534.0,29.940534,360.85633850097656,1.9822595119476318
0,turbo2,16,8,16777216,16777216,16777216,0,2,datasets/enwik/enwik8,100000000,29757398,29.757398,549.4827334880829,2.114502429962158
0,turbo2,16,8,16777216,16777216,16777216,0,2,AVERAGE,100000000.0,29757398.0,29.757398,549.4827334880829,2.114502429962158
0,turbo2,16,8,33554432,33554432,33554432,0,1,datasets/enwik/enwik8,100000000,29249363,29.249363,681.1225779056549,1.9776012897491455
0,turbo2,16,8,33554432,33554432,33554432,0,1,AVERAGE,100000000.0,29249363.0,29.249363,681.1225779056549,1.9776012897491455
0,turbo2,16,8,33554432,33554432,33554432,0,2,datasets/enwik/enwik8,100000000,29084403,29.084403,938.6319494247437,2.0557985305786133
0,turbo2,16,8,33554432,33554432,33554432,0,2,AVERAGE,100000000.0,29084403.0,29.084403,938.6319494247437,2.0557985305786133
0,turbo2,16,16,4194304,4194304,4194304,0,1,datasets/enwik/enwik8,100000000,31386068,31.386068,363.2096793651581,2.095548629760742
0,turbo2,16,16,4194304,4194304,4194304,0,1,AVERAGE,100000000.0,31386068.0,31.386068,363.2096793651581,2.095548629760742
0,turbo2,16,16,4194304,4194304,4194304,0,2,datasets/enwik/enwik8,100000000,31162584,31.162584,481.11246824264526,2.0844478607177734
0,turbo2,16,16,4194304,4194304,4194304,0,2,AVERAGE,100000000.0,31162584.0,31.162584,481.11246824264526,2.0844478607177734
0,turbo2,16,16,8388608,8388608,8388608,0,1,datasets/enwik/enwik8,100000000,30665480,30.66548,398.1541347503662,1.9254074096679688
0,turbo2,16,16,8388608,8388608,8388608,0,1,AVERAGE,100000000.0,30665480.0,30.66548,398.1541347503662,1.9254074096679688
