file,format,block_size,window_size,future_limit,max_matches,len3_dist_bits,len4_dist_bits,len5_dist_bits,len6_dist_bits,len7_dist_bits,lenx_dist_bits,lenx_len_bits
big_files/enwik6,fse,16384,8192,8,999999999,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,16,1,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,16,4,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,16,16,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,16,128,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,16,1024,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,16,999999999,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,32,1,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,32,4,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,32,16,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,32,128,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,32,1024,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,32,999999999,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,64,1,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,64,4,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,64,16,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,64,128,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,64,1024,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,64,999999999,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,128,1,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,128,4,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,128,16,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,128,128,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,128,1024,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,128,999999999,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,256,1,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,256,4,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,256,16,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,256,128,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,256,1024,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,256,999999999,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,258,1,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,258,4,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,258,16,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,258,128,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,258,1024,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,8192,258,999999999,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,16384,3,1,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,16384,3,4,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,16384,3,16,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,16384,3,128,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,16384,3,1024,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,16384,3,999999999,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,16384,4,1,0,0,0,0,0,0,0
big_files/enwik6,fse,16384,16384,4,4,0,0,0,0,0,0,0
