-f,-j,-b,--block-size,--window-size,--future-limit,--max-matches,--lazy-matching,-O,orig_size,enc_size,ratio,enc_time,dec_time,file_name,log_enc_time
ctx,16,1,1048576,262144,262144,10,0,0,1000001,368818,36.9,0.0469586849212646,0.0074141025543212,results-enwik6,-1.328284074014174
ctx,1,1,1048576,1048576,16384,10,0,0,1000001,367532,36.8,0.0487208366394043,0.0080657005310058,results-enwik6,-1.3122852625599741
ctx,16,1,262144,65536,262144,0,0,0,1000001,366473,36.6,0.0597352981567382,0.0068447589874267,results-enwik6,-1.2237689642719793
ctx,8,1,262144,65536,4096,1000,1,0,1000001,363701,36.4,0.0645859241485595,0.0069789886474609,results-enwik6,-1.1898621217990448
ctx,16,1,262144,262144,16384,0,0,0,1000001,360812,36.1,0.0662550926208496,0.0074398517608642,results-enwik6,-1.1787807345665287
ctx,8,1,1048576,65536,4096,0,0,0,1000001,356836,35.7,0.0707588195800781,0.0074565410614013,results-enwik6,-1.150219420733124
ctx,1,1,1048576,65536,16384,0,1,0,1000001,354286,35.4,0.0917243957519531,0.0069856643676757,results-enwik6,-1.0375151405418355
ctx,12,1,500001,500001,500001,0,0,0,1000001,346832,34.7,0.1215569972991943,0.0058820247650146,results-slow-enwik6,-0.9152200364013823
ctx,4,1,1048576,262144,1048576,1000,0,0,1000001,341245,34.1,0.1444811820983886,0.0084590911865234,results-enwik6,-0.8401887137587873
ctx,1,1,1048576,262144,4096,1000,1,0,1000001,338287,33.8,0.2143387794494629,0.0060141086578369,results-enwik6,-0.6688992467030587
ctx,1,1,1048576,1048576,1048576,1000,0,0,1000001,336715,33.7,0.2544999122619629,0.0059843063354492,results-enwik6,-0.594312363048841
ctx,1,1,1048576,1048576,1048576,1000,1,0,1000001,334203,33.4,0.3974497318267822,0.0057172775268554,results-enwik6,-0.40071779171381344
ctx,4,1,1048576,1048576,4096,0,1,0,1000001,333194,33.3,0.6519684791564941,0.0071020126342773,results-enwik6,-0.18577340067807133
ctx,12,1,500001,500001,500001,0,0,1,1000001,329612,33.0,1.0181522369384766,0.0059370994567871,results-slow-enwik6,0.007812719768104865
ctx,1,1,1048576,262144,1048576,1000,0,1,1000001,325025,32.5,1.3500232696533203,0.0068299770355224,results-enwik6,0.1303412542690338
ctx,1,1,1048576,1048576,4096,1000,0,1,1000001,317267,31.7,2.504246234893799,0.0058281421661376,results-enwik6,0.3986770294896662
ctx,1,1,1048576,1048576,4096,0,0,1,1000001,316458,31.6,4.299657583236694,0.0071706771850585,results-enwik6,0.6334338705488561
