compressor | file | ratio in % | compression time | decompression time | compression memory in MB | decompression memory in MB
zstd_22 | enwik8.6 | 20.755777 | 525.90 | 1.02 | 12893.94 | 343.74
lzmpo_0 | enwik8.6 | 23.320527 | 101.72 | 13.68 | 20944.37 | 1714.99
lzmpo_1 | enwik8.6 | 21.646027 | 633.04 | 12.66 | 20782.26 | 1488.72
lzmpo_2 | enwik8.6 | 21.394873 | 167.16 | 12.66 | 25359.90 | 1455.31
lzmpo_3 | enwik8.6 | 20.567766 | 487.57 | 12.15 | 25359.90 | 1364.98
lzmpo_4 | enwik8.6 | 20.213766 | 459.35 | 12.16 | 34515.18 | 1332.13
lzmpo_5 | enwik8.6 | 20.110905 | 640.48 | 12.16 | 34515.18 | 1320.89
lzmpo_6 | enwik8.6 | 20.063918 | 1456.69 | 12.15 | 34515.18 | 1317.63
brotli_q0 | enwik8.9 | 37.248390 | 3.55 | 2.54 | 6.88 | 29.75
brotli_q1 | enwik8.9 | 34.995971 | 3.55 | 2.54 | 7.88 | 29.75
brotli_q2 | enwik8.9 | 32.519028 | 6.08 | 2.54 | 39.12 | 29.75
brotli_q3 | enwik8.9 | 32.171293 | 7.10 | 2.03 | 39.21 | 29.75
brotli_q4 | enwik8.9 | 29.152803 | 13.17 | 2.03 | 118.32 | 22.70
brotli_q5 | enwik8.9 | 27.625644 | 18.24 | 2.54 | 99.86 | 22.97
brotli_q6 | enwik8.9 | 26.913095 | 27.37 | 2.03 | 100.81 | 22.99
brotli_q7 | enwik8.9 | 26.229142 | 60.28 | 2.03 | 103.84 | 22.85
brotli_q8 | enwik8.9 | 25.612968 | 119.52 | 2.54 | 110.96 | 22.85
brotli_q9 | enwik8.9 | 25.064250 | 248.68 | 2.54 | 128.61 | 22.85
brotli_q10 | enwik8.9 | 22.678264 | 814.61 | 3.04 | 241.11 | 22.79
brotli_q11 | enwik8.9 | 22.231410 | 1454.64 | 2.54 | 247.03 | 22.53
xz_0 | enwik8.9 | 32.192179 | 3.07 | 1.02 | 1295.45 | 180.02
xz_1 | enwik8.9 | 29.123156 | 6.65 | 1.02 | 1448.57 | 267.02
xz_2 | enwik8.9 | 27.945291 | 15.32 | 1.02 | 1705.15 | 395.89
xz_3 | enwik8.9 | 27.236405 | 31.64 | 1.02 | 2197.14 | 648.59
xz_4 | enwik8.9 | 24.866583 | 31.64 | 1.02 | 2477.15 | 647.80
xz_5 | enwik8.9 | 23.572356 | 43.86 | 1.02 | 3729.14 | 1071.60
xz_6 | enwik8.9 | 23.228916 | 46.94 | 1.02 | 3705.14 | 1069.52
xz_7 | enwik8.9 | 22.627157 | 62.60 | 1.02 | 5753.10 | 1433.52
xz_8 | enwik8.9 | 22.030942 | 89.37 | 1.52 | 5705.93 | 1416.45
xz_9 | enwik8.9 | 21.503284 | 174.87 | 2.53 | 5653.83 | 1411.74
zstd_1 | enwik8.9 | 35.517634 | 0.51 | 1.02 | 1.51 | 216.24
zstd_2 | enwik8.9 | 32.711140 | 0.51 | 1.02 | 151.36 | 216.74
zstd_3 | enwik8.9 | 31.069858 | 1.02 | 1.02 | 1611.84 | 217.74
zstd_4 | enwik8.9 | 30.481909 | 2.04 | 1.02 | 1669.24 | 217.74
zstd_5 | enwik8.9 | 29.476232 | 2.05 | 1.02 | 1676.74 | 217.74
zstd_6 | enwik8.9 | 28.508571 | 2.04 | 1.02 | 1676.74 | 217.74
zstd_7 | enwik8.9 | 27.982780 | 3.07 | 1.02 | 1679.84 | 217.74
zstd_8 | enwik8.9 | 27.576709 | 3.58 | 1.04 | 1679.84 | 217.74
zstd_9 | enwik8.9 | 27.095852 | 4.10 | 1.02 | 2048.37 | 219.74
zstd_10 | enwik8.9 | 26.720537 | 6.68 | 1.02 | 2208.37 | 219.74
zstd_11 | enwik8.9 | 26.536407 | 10.25 | 1.02 | 2224.43 | 219.74
zstd_12 | enwik8.9 | 26.476935 | 11.28 | 1.02 | 2528.37 | 219.74
zstd_13 | enwik8.9 | 26.179582 | 17.85 | 1.02 | 2400.37 | 219.74
zstd_14 | enwik8.9 | 26.024144 | 21.90 | 1.02 | 2656.37 | 219.74
zstd_15 | enwik8.9 | 25.743855 | 28.54 | 1.02 | 2912.37 | 219.74
zstd_16 | enwik8.9 | 24.883939 | 30.62 | 1.02 | 2434.55 | 219.74
zstd_17 | enwik8.9 | 24.160900 | 47.83 | 1.02 | 3267.87 | 223.74
zstd_18 | enwik8.9 | 23.844117 | 52.35 | 1.02 | 3277.68 | 223.74
zstd_19 | enwik8.9 | 23.422085 | 70.28 | 1.02 | 3757.55 | 223.74
zstd_20 | enwik8.9 | 22.452658 | 124.18 | 1.53 | 5187.68 | 247.74
zstd_21 | enwik8.9 | 21.851421 | 236.12 | 1.53 | 7776.43 | 279.74
zstd_22 | enwik8.9 | 21.285768 | 539.47 | 1.52 | 12893.94 | 343.74
lzmpo_0 | enwik8.9 | 23.815574 | 157.89 | 20.25 | 31079.25 | 2569.66
lzmpo_1 | enwik8.9 | 22.044460 | 1086.72 | 18.74 | 30876.36 | 2211.19
lzmpo_2 | enwik8.9 | 21.730600 | 282.94 | 19.25 | 37376.12 | 2149.12
lzmpo_3 | enwik8.9 | 20.837708 | 918.26 | 18.73 | 37376.12 | 2002.95
lzmpo_4 | enwik8.9 | 20.387339 | 1434.27 | 18.23 | 51109.05 | 1940.23
lzmpo_5 | enwik8.9 | 20.293523 | 1869.21 | 18.23 | 51109.05 | 1924.09
lzmpo_6 | enwik8.9 | 20.252024 | 2986.81 | 18.24 | 51109.05 | 1919.19
brotli_q0 | enwik8.7 | 36.913864 | 2.54 | 2.04 | 6.88 | 29.75
brotli_q1 | enwik8.7 | 34.657319 | 2.54 | 2.03 | 7.88 | 29.75
brotli_q2 | enwik8.7 | 32.202699 | 4.56 | 2.03 | 39.12 | 29.75
brotli_q3 | enwik8.7 | 31.838851 | 5.58 | 2.04 | 39.21 | 29.75
brotli_q4 | enwik8.7 | 28.844843 | 10.64 | 2.03 | 118.32 | 22.70
brotli_q5 | enwik8.7 | 27.315250 | 14.18 | 2.03 | 99.86 | 22.97
brotli_q6 | enwik8.7 | 26.613478 | 21.27 | 2.03 | 100.68 | 22.99
brotli_q7 | enwik8.7 | 25.944380 | 46.09 | 2.03 | 103.84 | 22.85
brotli_q8 | enwik8.7 | 25.342872 | 92.16 | 2.03 | 110.96 | 22.85
brotli_q9 | enwik8.7 | 24.804806 | 190.96 | 2.03 | 128.61 | 22.85
brotli_q10 | enwik8.7 | 22.438419 | 624.29 | 2.54 | 241.11 | 22.79
brotli_q11 | enwik8.7 | 21.990026 | 1128.72 | 2.54 | 247.03 | 22.53
xz_0 | enwik8.7 | 31.859345 | 2.56 | 1.02 | 1297.45 | 180.28
xz_1 | enwik8.7 | 28.806278 | 5.12 | 1.02 | 1451.58 | 267.45
xz_2 | enwik8.7 | 27.642271 | 12.28 | 1.02 | 1705.15 | 394.03
xz_3 | enwik8.7 | 26.944973 | 24.48 | 1.02 | 2161.13 | 631.11
xz_4 | enwik8.7 | 24.610391 | 25.01 | 1.02 | 2477.15 | 634.22
xz_5 | enwik8.7 | 23.322959 | 35.64 | 1.02 | 3657.13 | 958.50
xz_6 | enwik8.7 | 22.975096 | 37.66 | 1.02 | 3681.13 | 956.41
xz_7 | enwik8.7 | 22.383787 | 46.50 | 1.02 | 4951.04 | 1162.24
xz_8 | enwik8.7 | 21.804735 | 82.30 | 1.52 | 4439.87 | 1102.03
xz_9 | enwik8.7 | 21.303743 | 175.47 | 2.03 | 4524.79 | 1106.64
zstd_1 | enwik8.7 | 35.110830 | 0.51 | 0.51 | 10.79 | 151.36
zstd_2 | enwik8.7 | 32.350736 | 0.51 | 1.02 | 151.36 | 216.74
zstd_3 | enwik8.7 | 30.728282 | 1.02 | 1.02 | 1650.49 | 217.74
zstd_4 | enwik8.7 | 30.157607 | 1.53 | 1.02 | 1669.24 | 217.74
zstd_5 | enwik8.7 | 29.152574 | 1.53 | 1.02 | 1676.74 | 217.74
zstd_6 | enwik8.7 | 28.193050 | 2.04 | 1.02 | 1676.74 | 217.74
zstd_7 | enwik8.7 | 27.674461 | 2.55 | 1.02 | 1679.84 | 217.74
zstd_8 | enwik8.7 | 27.268971 | 2.56 | 1.02 | 1679.84 | 217.74
zstd_9 | enwik8.7 | 26.801585 | 3.59 | 1.02 | 2048.37 | 219.74
zstd_10 | enwik8.7 | 26.430105 | 5.12 | 1.02 | 2208.37 | 219.74
zstd_11 | enwik8.7 | 26.246230 | 8.19 | 1.02 | 2208.37 | 219.74
zstd_12 | enwik8.7 | 26.187908 | 8.69 | 1.02 | 2544.43 | 219.74
zstd_13 | enwik8.7 | 25.889227 | 14.75 | 1.02 | 2400.37 | 219.74
zstd_14 | enwik8.7 | 25.733623 | 17.81 | 1.02 | 2656.37 | 219.74
zstd_15 | enwik8.7 | 25.455051 | 22.40 | 1.02 | 2927.68 | 219.74
zstd_16 | enwik8.7 | 24.601282 | 23.92 | 1.02 | 2402.68 | 219.74
zstd_17 | enwik8.7 | 23.892968 | 41.71 | 1.02 | 3267.87 | 223.74
zstd_18 | enwik8.7 | 23.582077 | 47.84 | 1.02 | 3277.68 | 223.74
zstd_19 | enwik8.7 | 23.160326 | 60.13 | 1.02 | 3757.55 | 223.74
zstd_20 | enwik8.7 | 22.222028 | 119.22 | 1.02 | 4897.93 | 247.74
zstd_21 | enwik8.7 | 21.645736 | 241.78 | 1.02 | 7134.18 | 279.74
zstd_22 | enwik8.7 | 21.111104 | 532.51 | 1.02 | 12893.94 | 343.74
lzmpo_0 | enwik8.7 | 23.647196 | 122.07 | 15.69 | 24886.06 | 2008.36
lzmpo_1 | enwik8.7 | 21.926397 | 781.29 | 14.69 | 24024.69 | 1736.92
lzmpo_2 | enwik8.7 | 21.647280 | 204.19 | 14.69 | 29365.27 | 1693.68
lzmpo_3 | enwik8.7 | 20.791187 | 645.45 | 14.18 | 29365.27 | 1584.47
lzmpo_4 | enwik8.7 | 20.396428 | 574.55 | 14.18 | 40046.42 | 1541.66
lzmpo_5 | enwik8.7 | 20.298013 | 821.08 | 14.18 | 40046.42 | 1528.82
lzmpo_6 | enwik8.7 | 20.253637 | 1761.60 | 14.18 | 40046.42 | 1525.04
brotli_q0 | enwik8.8 | 37.233455 | 3.05 | 2.54 | 6.88 | 29.75
brotli_q1 | enwik8.8 | 34.978358 | 3.04 | 2.03 | 7.88 | 29.75
brotli_q2 | enwik8.8 | 32.504229 | 5.57 | 2.03 | 39.12 | 29.75
brotli_q3 | enwik8.8 | 32.153104 | 6.08 | 2.03 | 39.21 | 29.75
brotli_q4 | enwik8.8 | 29.129193 | 12.16 | 2.03 | 118.32 | 22.70
brotli_q5 | enwik8.8 | 27.600778 | 16.72 | 2.03 | 99.86 | 22.97
brotli_q6 | enwik8.8 | 26.888704 | 24.31 | 2.03 | 100.68 | 22.99
brotli_q7 | enwik8.8 | 26.206915 | 51.66 | 2.03 | 103.84 | 22.85
brotli_q8 | enwik8.8 | 25.592100 | 110.41 | 2.03 | 110.96 | 22.85
brotli_q9 | enwik8.8 | 25.043531 | 215.24 | 2.54 | 128.61 | 22.85
brotli_q10 | enwik8.8 | 22.655079 | 717.93 | 2.54 | 241.11 | 22.79
brotli_q11 | enwik8.8 | 22.206646 | 1292.18 | 2.54 | 247.03 | 22.53
xz_0 | enwik8.8 | 32.179663 | 3.07 | 1.02 | 1251.15 | 180.18
xz_1 | enwik8.8 | 29.104283 | 5.63 | 1.02 | 1448.57 | 266.49
xz_2 | enwik8.8 | 27.926263 | 13.79 | 1.02 | 1705.15 | 395.90
xz_3 | enwik8.8 | 27.217143 | 28.09 | 1.02 | 2209.14 | 648.48
xz_4 | enwik8.8 | 24.842596 | 28.13 | 1.02 | 2477.15 | 639.07
xz_5 | enwik8.8 | 23.547302 | 38.73 | 1.02 | 3753.14 | 1017.49
xz_6 | enwik8.8 | 23.205835 | 40.29 | 1.02 | 3777.15 | 1033.23
xz_7 | enwik8.8 | 22.601191 | 49.34 | 1.02 | 5657.09 | 1328.64
xz_8 | enwik8.8 | 22.008764 | 87.37 | 1.52 | 5072.90 | 1259.76
xz_9 | enwik8.8 | 21.449696 | 173.41 | 2.03 | 4524.79 | 1223.45
zstd_1 | enwik8.8 | 35.485718 | 0.51 | 1.02 | 1.22 | 216.24
zstd_2 | enwik8.8 | 32.682179 | 0.51 | 1.02 | 291.43 | 216.74
zstd_3 | enwik8.8 | 31.040274 | 1.02 | 1.02 | 1619.87 | 217.74
zstd_4 | enwik8.8 | 30.455053 | 1.53 | 1.02 | 1631.84 | 217.74
zstd_5 | enwik8.8 | 29.450183 | 2.04 | 1.02 | 1676.74 | 217.74
zstd_6 | enwik8.8 | 28.482394 | 2.04 | 1.02 | 1647.87 | 217.74
zstd_7 | enwik8.8 | 27.956808 | 2.56 | 1.02 | 1679.84 | 217.74
zstd_8 | enwik8.8 | 27.549581 | 3.07 | 1.02 | 1714.24 | 217.74
zstd_9 | enwik8.8 | 27.070821 | 3.58 | 1.02 | 2048.37 | 219.74
zstd_10 | enwik8.8 | 26.694784 | 5.64 | 1.02 | 2208.37 | 219.74
zstd_11 | enwik8.8 | 26.509540 | 9.22 | 1.02 | 2208.37 | 219.74
zstd_12 | enwik8.8 | 26.450085 | 9.72 | 1.02 | 2528.37 | 219.74
zstd_13 | enwik8.8 | 26.150760 | 15.25 | 1.02 | 2400.37 | 219.74
zstd_14 | enwik8.8 | 25.994387 | 18.81 | 1.02 | 2656.37 | 219.74
zstd_15 | enwik8.8 | 25.712848 | 23.94 | 1.02 | 2912.37 | 219.74
zstd_16 | enwik8.8 | 24.851004 | 25.98 | 1.02 | 2434.55 | 219.74
zstd_17 | enwik8.8 | 24.130306 | 44.79 | 1.02 | 3267.87 | 159.74
zstd_18 | enwik8.8 | 23.814689 | 49.82 | 1.02 | 3277.68 | 223.74
zstd_19 | enwik8.8 | 23.392244 | 65.66 | 1.02 | 3757.55 | 223.74
zstd_20 | enwik8.8 | 22.428371 | 121.22 | 1.52 | 4833.93 | 247.74
zstd_21 | enwik8.8 | 21.835536 | 232.60 | 1.53 | 7134.18 | 279.74
zstd_22 | enwik8.8 | 21.282255 | 531.97 | 1.52 | 12893.94 | 343.74
lzmpo_0 | enwik8.8 | 23.832382 | 139.88 | 18.23 | 28057.82 | 2296.64
lzmpo_1 | enwik8.8 | 22.076007 | 932.16 | 17.22 | 27825.18 | 1980.41
lzmpo_2 | enwik8.8 | 21.775555 | 245.54 | 17.22 | 33370.76 | 1927.50
lzmpo_3 | enwik8.8 | 20.896848 | 774.70 | 16.71 | 33370.76 | 1799.50
lzmpo_4 | enwik8.8 | 20.469303 | 940.25 | 16.71 | 45577.79 | 1746.51
lzmpo_5 | enwik8.8 | 20.374529 | 1370.59 | 16.20 | 45577.79 | 1732.15
lzmpo_6 | enwik8.8 | 20.332277 | 2501.64 | 16.20 | 45577.79 | 1727.83
brotli_q0 | enwik8.5 | 39.222918 | 2.03 | 1.52 | 6.88 | 29.75
brotli_q1 | enwik8.5 | 36.917114 | 2.03 | 1.53 | 7.88 | 29.75
brotli_q2 | enwik8.5 | 34.338771 | 3.55 | 1.52 | 38.93 | 29.75
brotli_q3 | enwik8.5 | 34.030272 | 4.05 | 1.52 | 38.64 | 29.75
brotli_q4 | enwik8.5 | 30.897213 | 9.62 | 1.53 | 118.32 | 22.70
brotli_q5 | enwik8.5 | 29.311019 | 12.15 | 1.52 | 99.86 | 22.84
brotli_q6 | enwik8.5 | 28.558348 | 18.73 | 1.52 | 100.68 | 22.86
brotli_q7 | enwik8.5 | 27.840712 | 41.49 | 1.53 | 103.84 | 22.85
brotli_q8 | enwik8.5 | 27.192729 | 92.97 | 1.52 | 110.96 | 22.85
brotli_q9 | enwik8.5 | 26.609797 | 156.23 | 1.52 | 128.61 | 22.85
brotli_q10 | enwik8.5 | 24.087362 | 393.89 | 1.52 | 241.11 | 22.79
brotli_q11 | enwik8.5 | 23.617032 | 806.26 | 2.03 | 247.03 | 22.53
xz_0 | enwik8.5 | 34.176664 | 2.05 | 0.51 | 1297.45 | 18.27
xz_1 | enwik8.5 | 30.913079 | 4.60 | 0.51 | 1448.57 | 21.66
xz_2 | enwik8.5 | 29.676960 | 10.73 | 0.51 | 1687.14 | 26.60
xz_3 | enwik8.5 | 28.932150 | 23.48 | 1.02 | 2209.14 | 36.44
xz_4 | enwik8.5 | 26.231094 | 23.47 | 1.02 | 2417.13 | 36.06
xz_5 | enwik8.5 | 24.894410 | 36.21 | 1.02 | 3513.11 | 832.60
xz_6 | enwik8.5 | 24.632834 | 39.28 | 1.02 | 3513.11 | 810.20
xz_7 | enwik8.5 | 23.980536 | 50.07 | 1.02 | 3538.93 | 840.24
xz_8 | enwik8.5 | 23.340070 | 85.36 | 1.53 | 3173.81 | 797.00
xz_9 | enwik8.5 | 22.759720 | 186.17 | 2.03 | 3395.76 | 810.06
zstd_1 | enwik8.5 | 37.651132 | 0.51 | 0.51 | 10.68 | 151.36
zstd_2 | enwik8.5 | 34.624414 | 0.51 | 0.51 | 291.43 | 216.74
zstd_3 | enwik8.5 | 32.855078 | 1.02 | 0.51 | 1611.84 | 217.74
zstd_4 | enwik8.5 | 32.227779 | 1.02 | 0.51 | 1639.87 | 217.74
zstd_5 | enwik8.5 | 31.217742 | 1.53 | 0.51 | 1639.84 | 217.74
zstd_6 | enwik8.5 | 30.206284 | 1.54 | 0.51 | 1647.87 | 217.74
zstd_7 | enwik8.5 | 29.654066 | 2.05 | 0.51 | 1714.24 | 217.74
zstd_8 | enwik8.5 | 29.240673 | 2.06 | 0.51 | 1679.84 | 217.74
zstd_9 | enwik8.5 | 28.740135 | 2.56 | 0.51 | 2048.37 | 151.36
zstd_10 | enwik8.5 | 28.343088 | 4.09 | 0.51 | 2208.37 | 219.74
zstd_11 | enwik8.5 | 28.149625 | 6.13 | 0.51 | 2224.43 | 219.74
zstd_12 | enwik8.5 | 28.085530 | 6.66 | 0.51 | 2544.43 | 219.74
zstd_13 | enwik8.5 | 27.755302 | 10.69 | 0.51 | 2400.37 | 219.74
zstd_14 | enwik8.5 | 27.592718 | 13.22 | 0.51 | 2656.37 | 219.74
zstd_15 | enwik8.5 | 27.297416 | 16.29 | 0.51 | 2912.37 | 151.36
zstd_16 | enwik8.5 | 26.338760 | 17.29 | 0.51 | 2434.55 | 219.74
zstd_17 | enwik8.5 | 25.597695 | 25.30 | 1.02 | 3026.72 | 151.36
zstd_18 | enwik8.5 | 25.256656 | 30.37 | 1.02 | 3035.92 | 223.74
zstd_19 | enwik8.5 | 24.842240 | 38.02 | 1.02 | 3579.92 | 223.74
zstd_20 | enwik8.5 | 23.819299 | 114.27 | 1.02 | 4190.43 | 247.74
zstd_21 | enwik8.5 | 23.184570 | 239.87 | 1.02 | 6491.93 | 279.74
zstd_22 | enwik8.5 | 22.576458 | 501.68 | 1.02 | 11546.68 | 343.74
lzmpo_0 | enwik8.5 | 25.400616 | 86.95 | 12.16 | 17735.29 | 1569.27
lzmpo_1 | enwik8.5 | 23.596633 | 522.32 | 11.15 | 17646.92 | 1364.77
lzmpo_2 | enwik8.5 | 23.281588 | 143.73 | 11.14 | 21354.41 | 1330.81
lzmpo_3 | enwik8.5 | 22.419698 | 413.20 | 11.15 | 21354.41 | 1251.44
lzmpo_4 | enwik8.5 | 22.015279 | 391.14 | 11.15 | 28983.82 | 1219.54
lzmpo_5 | enwik8.5 | 21.944304 | 539.60 | 10.64 | 28983.82 | 1212.14
lzmpo_6 | enwik8.5 | 21.915552 | 1082.79 | 10.63 | 28983.82 | 1209.98
